,target
716123,0
1117433,0
1133182,0
322514,0
141949,0
415840,0
458123,0
37560,0
1096507,0
1173698,0
1295899,0
1099045,0
631627,0
960670,0
779785,0
791289,0
925690,0
1128665,0
283121,0
183644,0
1021103,0
1283024,0
963324,0
1152380,0
217867,0
126815,0
409252,0
136977,0
947425,0
987691,0
125441,0
697204,0
546343,1
1264655,1
520390,0
107373,0
24482,0
797773,0
389576,0
517571,0
602524,0
282896,0
68586,1
928696,0
435499,0
297480,0
856160,0
791186,0
1109852,0
604258,0
291451,0
417164,0
321645,0
9249,0
77239,0
236975,0
793452,0
746656,0
627029,0
836135,0
54043,0
167893,0
916983,0
1182632,0
702006,0
577051,0
323315,0
200250,0
232554,0
197748,0
1200612,0
584743,0
486391,0
43080,0
293442,0
258396,0
27261,0
822732,0
248667,0
225749,0
1252001,0
82667,0
1033792,0
924591,0
839084,0
877626,0
506929,0
607395,0
960997,0
1180196,0
1120461,0
463324,0
1085726,0
1181748,0
816652,0
255442,0
1158999,0
707921,0
816946,0
698111,0
943846,0
1008778,0
858385,0
951878,0
872537,0
93125,0
748479,0
176952,0
753736,0
851166,0
44592,0
231225,0
602534,0
1145181,0
483205,0
309140,0
894143,0
1122776,0
227979,0
348516,0
968663,0
304307,0
1144245,0
98319,0
553393,0
145212,0
1167404,1
1125170,0
343855,0
1054739,0
1109336,0
1154588,0
1202829,0
429664,0
1068965,0
54633,0
298809,0
369168,0
824927,0
856984,0
258364,0
458880,0
403207,0
680835,0
1191054,0
1049529,1
1112162,0
710162,0
135909,0
786050,0
889173,1
931738,0
726180,0
619928,0
798788,0
641322,0
775854,0
563080,0
771242,0
534205,0
654272,0
657929,0
231911,0
456061,0
129573,0
677397,0
1064731,0
730354,0
763481,0
452342,0
632426,0
633271,0
31775,0
395420,0
98003,0
136195,0
502226,1
701644,0
1128803,0
1209939,0
1035136,0
304652,0
1174322,0
345996,0
1115029,1
472932,0
498500,1
381896,0
300579,0
527148,0
906823,0
293211,0
600710,0
263892,0
162917,0
186229,0
1130541,0
1178549,0
721400,1
140685,0
1027175,0
728288,0
1139955,0
1264651,0
1191944,0
1300134,0
42838,0
369754,0
511731,0
254848,0
650706,0
336976,0
474497,0
1188047,0
467720,0
1052001,0
870436,0
487317,0
726497,0
1108731,0
270666,0
898323,0
197796,0
363097,0
375134,0
355313,0
731667,0
239573,0
577902,0
501540,0
746080,0
1031806,1
437689,0
456815,0
711866,0
1268743,0
795847,0
647724,0
259506,0
539913,1
187060,0
959917,0
1017148,0
1283296,0
1061373,0
466155,0
394897,0
946386,0
128195,0
1305657,0
520772,0
158713,0
636667,0
956141,0
169259,0
1024246,0
1038978,0
260711,0
763090,1
1174653,0
1051238,0
574112,0
950874,0
459785,0
1012938,0
339759,0
974112,0
256689,0
410840,0
23804,0
114355,0
1022797,0
1182454,0
350869,0
127932,0
409004,0
904386,0
1021474,0
394699,0
623561,1
1014178,0
464163,0
647710,0
78468,0
1145948,0
503107,0
463506,0
459338,0
834439,0
409436,0
984761,0
331968,0
337421,0
196132,0
916837,1
807212,0
209399,0
1005348,0
143403,0
664677,0
608884,0
1230370,0
29594,0
654566,1
170869,0
169518,0
439204,0
342831,0
534045,0
196001,0
563146,0
744443,0
411546,0
998817,0
110593,0
856989,0
87503,0
689158,0
1045245,0
66367,0
1097092,0
166618,0
946635,0
810132,0
112464,0
1138376,0
824653,0
838935,0
1022822,0
1254175,0
38667,0
441463,0
623427,0
994901,0
193166,0
314791,0
102410,0
1055961,0
1212829,0
483529,0
414605,0
861756,0
595735,0
477630,0
1260354,0
205378,0
703408,0
239479,0
565774,0
727152,1
765120,0
1055569,1
472670,0
466679,0
461680,0
713636,0
870144,0
156804,0
359019,0
744950,0
514173,0
130022,0
24566,0
228018,0
1185271,0
853838,0
46460,0
643667,0
314271,0
196377,0
607263,0
348696,1
833307,0
1278690,0
637471,0
268347,0
648119,0
648835,0
787614,0
1030147,0
957382,0
888013,0
1273328,0
797581,0
298589,0
1164812,0
622202,0
18649,1
531261,1
1195505,0
841995,0
309656,0
1006651,0
442609,0
170037,0
343657,0
897281,0
575497,0
228968,0
530940,0
64505,0
922919,0
650854,1
1243562,0
184294,0
1190241,0
1162255,0
1291261,0
982721,0
68308,0
996385,0
666082,0
324092,0
494883,0
326396,0
103991,0
636041,0
885304,0
467890,0
581932,0
628098,0
249373,0
958684,0
689595,0
1254585,0
1035320,0
10057,0
854585,0
674164,0
534838,1
29928,1
1112469,0
812226,0
184116,0
820128,0
254391,0
675460,0
1119973,0
763549,0
107094,0
117109,0
541745,0
207917,0
527623,0
986059,0
154276,0
141113,0
1240938,0
1064879,0
1226520,0
752917,0
253075,0
758751,0
288114,0
87312,0
768602,0
527727,1
940858,0
869727,0
356606,0
474654,1
710359,0
399652,0
618726,0
1057937,0
573806,0
1281721,0
746175,1
303727,0
760472,0
693829,0
748502,0
522294,0
1065619,0
1287202,0
372014,0
1051094,0
1244084,0
1037324,0
1128729,0
552206,0
142666,0
1030820,0
63359,0
800683,0
238158,0
832892,0
118057,0
778088,0
687217,0
761710,0
889196,0
944944,0
124884,0
224264,0
931338,0
190970,0
1118532,0
1019228,0
578894,0
690533,0
29498,0
972407,0
588476,0
812724,1
161391,0
514484,0
940224,0
22786,0
699010,0
391771,0
184559,0
790970,0
147822,0
1011695,0
818468,0
706703,0
23180,0
435537,0
775002,0
1252099,0
1272072,0
606252,0
1135253,0
539040,1
203877,0
166556,0
497341,0
549356,0
970313,0
84349,0
772463,0
1259457,0
951281,0
588068,0
1113435,0
918285,0
917544,0
640441,0
263154,0
761875,0
270842,0
356204,0
82989,0
1197582,0
427216,0
925211,0
903848,0
1060501,0
1279338,0
1162799,0
1275012,0
439294,0
482639,0
723031,0
533975,0
582901,0
354388,0
591773,0
481701,0
462006,0
1231350,0
501128,0
906761,0
2012,1
1065294,0
446444,0
708554,0
322837,0
551271,0
367410,0
68285,0
503042,0
160102,0
1134970,0
689515,0
431947,0
919645,0
483464,0
794595,0
665972,1
435446,0
739220,0
252016,0
728281,0
994059,0
1295678,0
1031089,1
1247731,0
497182,0
330275,0
590850,0
438179,0
788339,0
1037449,0
799508,0
1046724,0
554221,1
894690,1
1189651,0
1047072,0
530732,0
837518,0
333559,0
1025370,0
375635,0
148386,0
208561,0
1142716,0
1297340,0
783325,0
1141057,0
1066087,0
645270,0
836148,0
535723,1
686244,0
145887,0
130097,0
387664,0
810039,0
1045768,0
662345,0
103957,0
313597,0
877809,0
306425,0
132995,0
231011,0
976508,0
1047923,0
1053938,0
84841,1
590327,0
308109,0
1168123,0
529164,0
406210,0
733517,0
782743,0
712615,0
1251930,0
1205741,0
17152,0
736704,0
704609,0
915979,0
213355,0
814524,0
1089122,0
155181,0
683431,0
808369,0
808127,0
1281832,1
38656,0
832677,0
1024727,0
967979,0
815805,0
593481,1
949833,0
525456,1
815563,0
168210,0
959605,0
179656,0
1285337,0
348738,0
1155277,0
440785,0
1063489,1
739340,0
355698,0
864969,0
394939,0
1074748,1
1288278,0
1019732,0
45984,0
595101,0
609641,0
217560,0
779339,0
1022814,0
463730,0
591162,0
901167,0
254859,0
1081189,0
761588,1
873536,0
837563,0
234374,0
33641,0
465079,0
747531,0
390088,0
740435,0
960002,1
734347,0
801626,0
1169624,0
669799,0
488889,0
441235,0
1089197,0
909656,0
1275557,0
1256366,0
1008181,0
515509,0
1214987,0
1048272,0
43021,1
1126235,0
601782,0
958401,0
425915,0
293100,0
988548,0
56442,0
815727,0
379589,0
48912,0
791160,0
516324,0
669727,0
973370,0
635012,0
1060506,0
410101,0
485674,0
644420,0
1301747,0
1034261,0
684056,1
152398,0
1077022,0
953384,0
803862,0
580117,0
117152,0
1287699,0
1284958,0
60066,0
936312,0
459528,0
606280,0
666344,0
1000014,0
270299,1
1135668,0
874380,0
1254955,0
607543,0
1295390,0
832120,0
228034,0
509539,0
988676,0
1123350,0
485042,0
518086,0
632689,0
1155814,0
667333,0
1064450,0
667561,0
1096585,0
1251607,0
354893,0
104837,0
882338,0
695272,0
345936,0
991131,0
279382,0
1087405,1
695579,0
403460,1
322500,0
95635,0
289659,0
499871,0
768464,0
850124,1
544530,0
509259,0
390830,0
609837,0
348742,0
430832,0
997089,0
778781,0
611551,0
801636,0
1051002,0
1263414,0
512289,0
1060101,1
912554,0
768820,0
307690,0
604355,0
1125280,0
423831,0
693685,0
818689,0
130486,0
541076,0
806732,0
1108919,0
1166201,0
1064146,0
363524,0
519931,0
552379,0
915125,0
67604,0
701456,0
31711,0
85595,1
726302,0
603207,0
39291,0
1109963,1
447810,0
1025431,0
997939,0
115558,1
1214284,0
827709,0
248017,0
864356,0
584226,0
703405,0
395929,0
527630,0
866096,0
325357,0
787703,0
19567,0
1218168,0
425336,0
1013836,0
932096,0
1300512,0
242282,0
554236,0
606939,0
681438,0
563251,0
994960,0
711899,0
785538,0
825974,0
1096629,0
636449,1
140936,0
1120630,0
48876,1
1114246,0
749631,0
337121,0
1206956,0
527297,0
356652,0
873442,0
647591,0
358015,0
599842,0
26825,0
705593,0
630934,0
167034,0
495561,0
289485,0
793608,0
170086,0
1156620,0
1028976,1
560639,0
104695,0
622841,0
367338,0
517081,1
929386,0
477142,0
514458,0
600536,0
109833,0
1239289,0
330291,0
985290,0
272933,0
1069220,0
163990,1
43716,0
231806,0
366746,0
957244,0
516546,1
1033992,0
269453,0
781239,0
740643,0
1059454,1
860933,0
833551,0
954984,0
837567,0
204872,0
41192,0
1024736,0
747686,1
357408,0
1289854,0
1104938,0
445223,0
150176,0
728918,0
1183460,0
493561,0
394868,0
1295282,0
1156055,0
705621,0
270387,0
30007,0
253857,0
426440,0
937242,0
913675,0
74104,0
460188,1
1037615,0
915807,0
688610,0
426095,0
639863,0
215743,0
561245,0
669251,0
37392,0
543457,0
959585,0
400019,0
1149305,0
939900,0
99107,0
1097807,0
1018826,0
185345,0
377849,0
1166660,0
819764,0
627711,1
582860,1
125503,0
220581,0
156250,0
857821,0
241855,0
448829,0
1171007,0
20889,0
633764,0
848721,0
167118,0
839204,0
573987,0
466672,0
309152,0
794189,0
645216,0
758175,0
918410,0
963738,0
154624,0
1009250,0
137995,0
1083470,1
207397,0
620078,0
266771,0
367284,0
703514,0
21351,0
603460,0
1161428,0
481275,0
377966,0
515790,1
277651,0
1080591,0
612336,0
497277,0
720166,0
318208,0
66144,0
717997,0
1198529,0
847054,0
893045,0
157129,0
499088,0
1033521,0
1055428,0
936168,0
487619,0
752009,0
1069594,0
1213356,0
1099490,0
808630,0
293972,0
855752,0
1290827,0
661946,0
828738,1
770837,0
945394,0
1240859,0
1139927,0
1202662,0
406365,0
496307,0
137991,0
753111,0
1284104,0
96180,0
44292,0
1284433,0
1006747,0
225775,0
511499,1
962425,0
218659,0
582356,0
1018222,0
738781,0
286357,1
105486,1
370142,0
1084010,0
364165,0
1102396,0
248997,0
757600,0
1217064,0
1180465,0
631978,0
635973,0
1014143,0
634335,0
806479,0
213072,0
324789,1
190978,0
498076,0
786791,0
746538,0
1112459,0
964498,0
390736,0
329041,0
1238130,0
775025,0
971561,0
847385,0
1135002,0
824907,0
547404,0
1167658,0
942020,0
881698,0
658224,0
331404,0
932893,0
1232976,0
288872,0
815014,0
633383,0
1077764,0
511298,0
697246,1
992288,0
908061,0
786645,0
550506,0
10435,0
1146521,0
160361,0
755518,0
132149,0
797392,0
353103,0
1225192,0
1246543,0
567610,0
959388,1
532310,0
989062,0
963771,0
448620,0
864308,0
420617,0
1009677,0
67726,0
630932,0
137644,0
720005,0
343903,0
444391,0
386904,0
411741,0
43062,0
618531,0
624289,0
330023,0
1211953,0
667430,0
1157660,0
138398,0
949585,0
835152,0
1172201,0
279471,0
1279340,0
430676,0
355988,0
261755,0
334103,0
1160540,0
784358,0
1175057,1
934975,0
261949,0
436665,0
821160,0
880914,0
228020,0
199086,0
1159422,0
1141686,0
1260011,1
181512,0
1208189,0
792856,0
330946,1
1234104,0
836450,0
845067,0
11064,0
797249,0
365960,0
1010391,0
522309,0
885529,0
461058,0
869368,0
489270,0
602523,0
1169996,0
391399,1
597100,0
343736,0
940933,0
574075,0
411998,0
737152,0
587335,0
1191009,1
439750,0
1195863,0
857271,0
808951,0
1252598,0
899386,0
158510,0
977220,0
476566,0
69860,0
908584,0
1198896,0
695022,0
389441,0
520043,0
1292005,1
161618,0
160227,0
708285,0
119115,1
1039448,0
1246278,0
155096,1
104697,0
267895,0
251899,0
548502,0
1163745,0
999029,0
317703,0
521673,0
464322,0
392590,0
923755,0
636929,0
840633,0
224311,0
131464,0
50014,0
379962,1
269874,1
1156322,0
350063,0
659340,0
1004756,0
442453,0
496078,0
58979,0
116257,0
339375,0
22362,0
710430,0
342509,0
381474,0
149166,0
625736,0
1229581,0
1114092,0
700908,0
577688,0
1003627,0
1143130,1
542519,0
1178959,0
901053,0
390631,0
1172021,0
837389,0
1131272,0
96031,0
1007009,0
222025,0
785948,0
114147,0
337002,0
812799,0
20909,0
1208494,0
802163,0
147612,0
782770,0
124946,0
389991,0
158446,0
445704,0
861878,0
696510,1
575380,0
1204442,0
279481,0
1221207,0
1207513,0
963687,0
673051,0
435835,1
754853,0
676049,0
292007,0
549089,0
32054,0
630870,0
868158,0
1073853,0
336665,0
390427,0
769192,0
507828,0
779793,0
970795,0
463736,0
1194666,0
280949,0
740463,0
1147428,0
422921,0
1024990,0
998222,0
168305,0
1166981,0
909111,0
706525,0
268511,0
525674,0
185321,0
1155056,0
951836,0
939517,0
325955,0
173223,0
138715,0
1219550,0
299470,0
215834,0
281735,0
440760,1
936500,0
232482,0
753602,0
1011622,0
873461,0
669053,0
999715,0
674946,0
947092,0
769348,0
301895,0
1258147,0
942992,0
1151,0
44896,0
1251372,0
1096347,0
434806,0
697875,0
425881,0
406602,0
615324,0
684337,0
88895,0
353069,0
548950,0
637442,0
1207176,0
642755,0
1127715,0
273386,0
681404,0
861742,0
1063880,0
982669,0
1117289,0
1282248,0
276310,0
794295,1
622689,0
676995,0
1224782,0
1174526,0
417847,0
518071,0
839016,0
677129,0
1099156,0
1243801,0
456246,0
923378,0
518793,0
1154877,0
769677,0
620950,0
1011928,0
847909,0
941767,0
1188254,0
530695,0
1009871,0
975424,1
279147,0
1043655,0
1021605,0
1032104,0
728396,0
341151,0
318213,0
167907,0
619274,0
776321,0
149444,0
409921,0
709642,0
802200,0
383130,0
591684,0
987019,0
507866,0
317585,0
958344,0
131452,1
1166066,0
207924,0
457999,0
510133,0
297350,0
40656,0
871556,0
329381,0
1251388,0
676620,0
486798,0
1170486,0
840777,0
273367,0
478205,0
570174,0
652950,0
1190955,0
97212,0
703196,0
1272428,1
590404,0
435424,0
1155557,0
975374,0
588072,0
595163,0
622518,0
269451,0
1147978,1
768099,0
335679,0
940941,0
332877,0
1203787,0
314049,0
1125088,0
465798,0
1028504,0
509617,0
794310,1
514001,0
162862,0
1104524,0
246472,0
979355,0
549941,0
715834,0
548386,0
184555,0
123272,0
43230,0
1198059,0
31942,0
729434,0
616294,0
701738,0
836531,0
973035,0
329386,0
518922,0
162656,0
1300014,0
259319,0
325245,0
1101829,0
46050,0
452850,0
865956,0
326177,0
1130806,0
1066681,0
1146491,0
15706,1
972144,0
609765,0
375519,0
139806,0
272699,0
638149,0
1180330,0
1076618,0
849137,0
324956,0
832969,0
1088414,0
860700,1
1208357,0
402163,0
368837,0
1081851,0
763591,0
237168,0
803028,1
1287822,0
82658,1
661177,0
540343,0
1164633,0
589851,0
1116518,0
659080,1
516301,0
872847,0
152719,0
1059304,0
994260,0
582264,0
902530,0
723083,0
322615,0
917378,0
669777,0
81778,0
1274802,0
601425,0
1113563,0
990700,0
1230891,0
1294965,0
733083,0
1081569,0
409838,0
886472,0
669375,0
591008,0
384902,0
121603,0
1113489,0
1064818,0
525728,0
757786,0
1007728,0
1283445,0
47790,0
574947,0
942629,0
842303,0
1302061,0
1256937,0
279203,0
35984,0
1136902,0
889679,0
781382,0
780221,0
1190471,0
1129107,0
951099,1
1032660,0
404667,0
485911,0
367388,0
117544,1
936504,0
834518,0
292830,0
466375,0
296247,0
1235876,0
113111,0
576779,0
49122,0
935474,0
450741,0
245382,0
459396,0
848499,0
123955,0
486647,0
133122,0
589657,0
595907,0
1201782,0
487349,0
1107231,0
1138987,1
946390,0
198889,0
614326,0
147026,1
601495,0
1074191,0
475357,0
718027,0
1155094,0
912689,0
1301049,0
773146,0
753228,0
1283115,0
749,0
958060,0
1164034,0
1272379,0
522597,0
318372,0
565544,0
301176,0
865177,0
277777,1
794269,0
610181,0
302827,0
1149031,0
598827,0
23605,1
757130,1
877486,1
673700,0
224093,0
667608,0
994148,0
481198,0
442283,0
721325,0
759330,0
848676,0
1051233,1
1168372,0
251172,0
1104337,0
704767,0
860203,0
1106252,0
678910,0
581612,0
1229142,0
225862,0
383919,0
1072984,0
214691,0
37496,0
97260,0
660389,0
772531,0
996529,0
594792,0
476573,0
172592,0
324310,0
379754,0
215808,0
661983,0
1004355,0
479602,0
426014,0
1285887,0
912691,0
1303596,0
259720,0
966501,0
1147217,0
142216,0
675088,0
683153,0
580477,0
852964,0
1121109,1
175784,0
946416,0
502950,0
993184,0
460946,0
615246,1
25591,1
77055,0
1092744,0
1151490,0
328387,0
240878,0
956666,0
1179884,0
1304253,0
809469,0
463368,0
568559,0
493039,0
1075382,0
1120798,1
269160,0
625383,0
1260504,0
667261,1
912815,1
1239772,0
267157,0
238390,0
1142979,0
180764,0
1157719,0
7177,0
736589,0
1295752,0
1252743,0
958960,0
997824,0
433813,0
286245,0
141353,0
789276,0
930060,0
552593,0
1075566,0
715403,0
206999,0
71011,0
1067030,0
797606,0
533468,0
228575,1
136706,0
1300216,0
79869,0
1017701,0
599063,0
598876,0
208935,1
450691,0
139307,0
656281,0
79475,0
288630,0
1033391,0
929874,0
200487,0
1086689,0
1251144,0
854454,0
879925,0
987281,0
92650,0
725299,1
673777,0
343345,0
1158009,0
793669,0
505283,0
977008,0
217736,0
703350,0
287797,1
1098128,0
149158,0
361223,0
395391,0
352480,0
634500,1
121688,0
1269761,1
975439,0
941725,0
515601,0
652326,0
755143,0
142170,0
259055,0
1098271,0
600349,0
384145,0
1252705,0
31741,0
129577,0
1277383,0
1116665,1
89472,0
943592,0
568527,0
446627,0
1018798,0
499455,0
1247684,1
979316,0
865712,0
859399,0
829690,0
680935,0
935173,0
1005894,0
67759,0
200768,0
336822,0
357212,0
965354,0
1242747,0
675578,0
459759,1
834090,0
192832,0
1186536,0
30254,0
648688,1
139644,0
241959,0
477907,0
58553,0
1057510,0
685567,0
772939,0
207570,0
866640,0
297708,0
1210813,0
375237,0
408785,1
7270,0
253844,0
801694,0
1095081,0
292091,0
904319,0
1160723,0
1131107,0
187744,0
1052724,0
794796,0
1075093,0
297335,0
81705,0
187476,0
412670,0
315080,0
225765,0
331112,0
949542,0
503395,0
237541,0
1136115,0
543918,0
815167,0
587443,0
485714,0
427042,0
1137588,0
459101,0
561833,0
520376,0
785365,0
651560,0
270863,0
1113381,0
76706,0
457036,0
730625,0
353371,0
459450,0
183596,0
807385,0
664262,1
897280,0
862271,0
618082,0
511880,0
859550,0
318382,0
1255956,0
618389,0
625743,0
1119160,0
1284458,0
1207626,0
269014,0
668493,0
990581,0
1293313,0
1031672,0
635028,0
1292728,0
505730,0
1213023,0
1259493,0
457155,0
275149,0
429185,0
26324,0
1062117,0
545819,0
296040,0
967291,0
803806,0
1040999,0
887619,0
920615,0
928989,0
887035,0
351850,1
117157,0
1238235,0
206348,0
1172961,0
749724,0
412463,0
546433,0
170890,0
253771,0
398527,0
406415,0
1221427,0
1103118,0
97840,0
692609,0
727342,0
136460,0
82258,0
157030,0
666793,0
783574,0
830277,0
704953,1
870052,0
1206788,0
445319,0
594245,0
328169,0
385011,0
1068417,0
49124,0
1177847,0
777770,0
1179318,0
928176,0
1272517,0
561731,1
1230718,0
1090785,0
195820,0
212783,0
682020,0
357503,0
579128,0
1274002,0
809662,1
938321,0
1060408,0
268983,0
989203,0
10351,0
838148,0
1213045,0
1252079,0
593514,0
949844,0
414057,0
490786,0
617679,0
731888,0
1148039,0
1255569,0
1185537,0
801660,0
341222,0
425191,0
810500,0
580826,0
943977,0
415777,0
1290204,0
808507,0
907044,0
940153,0
851647,0
274469,0
825984,0
322239,0
1138255,0
1063053,1
642796,0
1132800,0
783697,0
162679,0
1070943,0
1044230,0
591078,1
72673,0
1045050,0
1129618,0
570780,1
1188082,0
1052363,0
196704,0
246016,1
1007402,0
1035306,0
646456,0
127175,0
278278,0
556293,1
267221,0
387878,0
1133997,0
131788,0
385196,0
1278840,0
867802,0
1094467,0
397363,0
1193294,0
294918,0
74116,0
26341,0
789996,0
405811,0
717887,0
133249,0
1173453,0
743443,0
410487,0
116676,0
884796,0
412812,0
972964,0
260674,0
70466,0
1157160,0
878481,1
1265930,0
399624,0
224378,0
967465,0
690123,0
1138033,0
680540,0
167181,0
194550,0
166400,0
261258,0
1243205,0
1114488,0
1218588,0
239255,0
225460,0
515017,0
1140889,0
1207972,0
414556,0
846458,1
1080309,0
734676,0
555897,0
818442,0
532985,0
1203600,0
973291,0
660322,0
139897,0
1116832,0
463576,0
669896,1
1009315,0
441164,0
371458,0
1143248,0
519585,0
180485,0
494721,0
510449,0
471106,0
659700,0
1105556,0
753207,0
864386,0
906182,0
656075,0
124716,0
916947,0
911610,0
743590,0
666842,0
242442,0
37102,0
1067157,0
967785,0
698084,0
326153,0
699676,1
1142747,0
1297938,0
283504,0
760319,0
716411,0
34281,0
397329,0
640063,0
910226,0
1012602,0
3837,0
763910,0
1263366,0
585249,0
203796,0
1145457,0
21947,0
793271,0
456631,0
1216106,0
423498,0
365666,0
1286157,0
215918,0
252633,0
539996,0
385605,0
1224172,0
317822,0
773817,0
284740,0
950800,0
138868,0
95411,0
1290139,0
9976,0
1055080,0
1303629,0
1088310,0
1052195,0
100586,0
589363,0
151804,0
653781,1
906688,0
341138,0
73536,0
1127302,0
954288,0
1144964,0
548656,0
223839,0
1046738,0
71448,0
1207602,0
277020,0
268164,0
708266,0
665575,0
745404,0
624956,0
1208911,0
600420,0
1297361,0
532981,0
569564,0
409984,0
674860,0
184787,0
372965,0
671858,0
753270,0
758087,0
143573,0
715756,0
744052,0
844314,0
903532,0
546073,0
503565,0
836579,0
111231,0
1243261,0
142657,0
18343,1
889284,0
836943,0
691442,0
1191506,0
1215174,0
1265254,1
1129539,0
804620,0
857154,0
1228221,0
356104,0
243555,0
441223,0
951810,0
755493,0
17043,0
1098212,0
154486,0
461596,0
182141,0
602258,0
1124020,0
811902,1
296883,0
725360,0
1062262,0
560205,0
1158067,0
98709,0
366422,0
1158764,0
277641,0
484574,0
1037745,0
313115,0
938504,0
367124,0
369649,0
372428,0
457529,0
1252346,1
448446,0
1209423,0
1075460,0
840873,0
203892,0
287553,0
823417,0
488287,0
283499,0
495808,0
391920,0
46024,0
809132,1
563495,1
427007,0
257719,0
950920,0
481227,0
6969,1
662472,0
282505,0
226444,0
194817,0
29027,0
387004,0
805985,0
1154372,0
862857,0
1304364,0
16241,0
535475,1
1010739,1
1301867,0
874499,0
987517,0
23574,0
439482,0
809779,0
211100,0
306392,0
610574,0
1129243,0
90307,0
940290,0
1267952,0
845135,0
710611,0
650162,0
8678,1
201374,0
304704,0
24871,0
945291,0
156552,0
977967,0
945213,1
1230513,0
1033306,0
1129736,0
89937,0
751851,0
37476,0
967007,0
685305,0
965480,0
1275404,0
763074,0
820979,0
178788,0
466457,0
1174395,0
377932,0
382393,0
4750,0
524655,0
335034,0
882817,0
1146278,1
634014,0
293911,0
1048248,0
1045282,1
998320,0
527410,0
16266,0
473655,0
795501,0
415666,0
39701,0
66554,0
704397,0
978083,0
334842,0
411379,1
115689,0
822195,0
504998,0
742638,0
819575,0
1252795,0
1126716,0
222212,0
811074,0
248089,0
1101891,0
42585,0
877028,0
220860,0
845507,0
877643,1
531272,0
440286,0
279678,0
593089,0
873388,0
693833,0
1221019,0
1053481,0
794384,0
547240,0
1268277,1
1250232,0
982191,0
640344,0
936110,0
1195864,0
1081300,0
584279,0
1106898,0
1038605,0
1125132,0
950131,0
1174608,0
1161893,0
1294475,0
770941,1
1251157,0
13896,0
227820,0
1066415,0
1263852,0
1117676,0
1039327,0
843911,0
640607,0
104985,0
981428,0
6324,0
546659,0
792435,0
635749,0
830591,0
25907,0
463745,0
1104657,0
1300383,0
156734,0
653012,0
528803,0
681586,0
1296878,0
775563,0
574266,0
317877,0
766499,0
685390,1
552305,1
1286442,0
